Train 22, loss: 0.646258, train acc: 0.995951, train avg acc: 0.995605, train iou: 0.990847
Test 22, loss: 0.652220, test acc: 0.996791, test avg acc: 0.997414, test iou: 0.992984
Train 23, loss: 0.646112, train acc: 0.996057, train avg acc: 0.995733, train iou: 0.991082
Test 23, loss: 0.644586, test acc: 0.997761, test avg acc: 0.997221, test iou: 0.995383
Train 24, loss: 0.645989, train acc: 0.996152, train avg acc: 0.995835, train iou: 0.991297
Test 24, loss: 0.643073, test acc: 0.997928, test avg acc: 0.997715, test iou: 0.995808
Train 25, loss: 0.645710, train acc: 0.996376, train avg acc: 0.996088, train iou: 0.991802
Test 25, loss: 0.665296, test acc: 0.994859, test avg acc: 0.995968, test iou: 0.988414
Train 26, loss: 0.645654, train acc: 0.996415, train avg acc: 0.996129, train iou: 0.991882
Test 26, loss: 0.642553, test acc: 0.998472, test avg acc: 0.998426, test iou: 0.996991
Train 27, loss: 0.645359, train acc: 0.996647, train avg acc: 0.996398, train iou: 0.992404
Test 27, loss: 0.645398, test acc: 0.998417, test avg acc: 0.998229, test iou: 0.996728
Train 28, loss: 0.645284, train acc: 0.996712, train avg acc: 0.996467, train iou: 0.992553
Test 28, loss: 0.641806, test acc: 0.997886, test avg acc: 0.998007, test iou: 0.995900
Train 29, loss: 0.645308, train acc: 0.996691, train avg acc: 0.996452, train iou: 0.992512
Test 29, loss: 0.641224, test acc: 0.998723, test avg acc: 0.998812, test iou: 0.997423
Train 30, loss: 0.645135, train acc: 0.996788, train avg acc: 0.996572, train iou: 0.992743
Test 30, loss: 0.649685, test acc: 0.997782, test avg acc: 0.997065, test iou: 0.995240
Train 31, loss: 0.645086, train acc: 0.996828, train avg acc: 0.996619, train iou: 0.992827
Test 31, loss: 0.640899, test acc: 0.998821, test avg acc: 0.998821, test iou: 0.997689
Train 32, loss: 0.644887, train acc: 0.997017, train avg acc: 0.996827, train iou: 0.993247
Test 32, loss: 0.641110, test acc: 0.998710, test avg acc: 0.998794, test iou: 0.997489
Train 33, loss: 0.644874, train acc: 0.996997, train avg acc: 0.996811, train iou: 0.993211
Test 33, loss: 0.643857, test acc: 0.998577, test avg acc: 0.998390, test iou: 0.997143
Train 34, loss: 0.644699, train acc: 0.997138, train avg acc: 0.996967, train iou: 0.993521
Test 34, loss: 0.642491, test acc: 0.998612, test avg acc: 0.998503, test iou: 0.997151
Train 35, loss: 0.644626, train acc: 0.997189, train avg acc: 0.997014, train iou: 0.993632
Test 35, loss: 0.641841, test acc: 0.998689, test avg acc: 0.998790, test iou: 0.997451
Train 36, loss: 0.644611, train acc: 0.997207, train avg acc: 0.997040, train iou: 0.993677
Test 36, loss: 0.647577, test acc: 0.998451, test avg acc: 0.998193, test iou: 0.996789
Train 37, loss: 0.644559, train acc: 0.997230, train avg acc: 0.997080, train iou: 0.993729
Test 37, loss: 0.640812, test acc: 0.998675, test avg acc: 0.998798, test iou: 0.997349
Train 38, loss: 0.644447, train acc: 0.997323, train avg acc: 0.997184, train iou: 0.993935
Test 38, loss: 0.653010, test acc: 0.997621, test avg acc: 0.998123, test iou: 0.994829
Train 39, loss: 0.644496, train acc: 0.997280, train avg acc: 0.997132, train iou: 0.993842
Test 39, loss: 0.641846, test acc: 0.998563, test avg acc: 0.998375, test iou: 0.997116
Train 40, loss: 0.644279, train acc: 0.997463, train avg acc: 0.997345, train iou: 0.994253
Test 40, loss: 0.640557, test acc: 0.998919, test avg acc: 0.999003, test iou: 0.997878
Train 41, loss: 0.644204, train acc: 0.997520, train avg acc: 0.997407, train iou: 0.994377
Test 41, loss: 0.641032, test acc: 0.998682, test avg acc: 0.998822, test iou: 0.997402
Train 42, loss: 0.644267, train acc: 0.997458, train avg acc: 0.997337, train iou: 0.994238
Test 42, loss: 0.640875, test acc: 0.999003, test avg acc: 0.998950, test iou: 0.998010
Train 43, loss: 0.644155, train acc: 0.997564, train avg acc: 0.997453, train iou: 0.994477
Test 43, loss: 0.640499, test acc: 0.998968, test avg acc: 0.998965, test iou: 0.997959
Train 44, loss: 0.644034, train acc: 0.997644, train avg acc: 0.997552, train iou: 0.994664
Test 44, loss: 0.640896, test acc: 0.998947, test avg acc: 0.999046, test iou: 0.997845
Train 45, loss: 0.644020, train acc: 0.997669, train avg acc: 0.997580, train iou: 0.994719
Test 45, loss: 0.643048, test acc: 0.998800, test avg acc: 0.998971, test iou: 0.997595
Train 46, loss: 0.644006, train acc: 0.997678, train avg acc: 0.997591, train iou: 0.994743
Test 46, loss: 0.640516, test acc: 0.999079, test avg acc: 0.999165, test iou: 0.998264
Train 47, loss: 0.643933, train acc: 0.997728, train avg acc: 0.997644, train iou: 0.994850
Test 47, loss: 0.641105, test acc: 0.999016, test avg acc: 0.998973, test iou: 0.998067
Train 48, loss: 0.643864, train acc: 0.997793, train avg acc: 0.997720, train iou: 0.994997
Test 48, loss: 0.640978, test acc: 0.998737, test avg acc: 0.998887, test iou: 0.997543
Train 49, loss: 0.643899, train acc: 0.997760, train avg acc: 0.997681, train iou: 0.994919
Test 49, loss: 0.641710, test acc: 0.999072, test avg acc: 0.998981, test iou: 0.998143
Train 50, loss: 0.643763, train acc: 0.997880, train avg acc: 0.997817, train iou: 0.995190
Test 50, loss: 0.645767, test acc: 0.998319, test avg acc: 0.998613, test iou: 0.996454
Train 51, loss: 0.643726, train acc: 0.997900, train avg acc: 0.997844, train iou: 0.995243
Test 51, loss: 0.640461, test acc: 0.999198, test avg acc: 0.999291, test iou: 0.998414
Train 52, loss: 0.643660, train acc: 0.997963, train avg acc: 0.997915, train iou: 0.995377
Test 52, loss: 0.644156, test acc: 0.998891, test avg acc: 0.999077, test iou: 0.997749
Train 53, loss: 0.643636, train acc: 0.997988, train avg acc: 0.997943, train iou: 0.995437
Test 53, loss: 0.648037, test acc: 0.998521, test avg acc: 0.998804, test iou: 0.996915
Train 54, loss: 0.643596, train acc: 0.998011, train avg acc: 0.997966, train iou: 0.995488
Test 54, loss: 0.641727, test acc: 0.999184, test avg acc: 0.999222, test iou: 0.998485
Train 55, loss: 0.643509, train acc: 0.998087, train avg acc: 0.998056, train iou: 0.995656
Test 55, loss: 0.640952, test acc: 0.999030, test avg acc: 0.999143, test iou: 0.998126
Train 56, loss: 0.643478, train acc: 0.998112, train avg acc: 0.998084, train iou: 0.995711
Test 56, loss: 0.640858, test acc: 0.999037, test avg acc: 0.999154, test iou: 0.998156
Train 57, loss: 0.643481, train acc: 0.998103, train avg acc: 0.998074, train iou: 0.995693
Test 57, loss: 0.640619, test acc: 0.999289, test avg acc: 0.999392, test iou: 0.998640
Train 58, loss: 0.643416, train acc: 0.998165, train avg acc: 0.998146, train iou: 0.995833
Test 58, loss: 0.640238, test acc: 0.999023, test avg acc: 0.999142, test iou: 0.998093
Train 59, loss: 0.643408, train acc: 0.998169, train avg acc: 0.998147, train iou: 0.995839
Test 59, loss: 0.641033, test acc: 0.999247, test avg acc: 0.999316, test iou: 0.998516
Train 60, loss: 0.643360, train acc: 0.998206, train avg acc: 0.998187, train iou: 0.995917
Test 60, loss: 0.640735, test acc: 0.999219, test avg acc: 0.999246, test iou: 0.998526
Train 61, loss: 0.643259, train acc: 0.998286, train avg acc: 0.998275, train iou: 0.996098
Test 61, loss: 0.639921, test acc: 0.999344, test avg acc: 0.999417, test iou: 0.998765
Train 62, loss: 0.643263, train acc: 0.998283, train avg acc: 0.998276, train iou: 0.996093
Test 62, loss: 0.640169, test acc: 0.999086, test avg acc: 0.999134, test iou: 0.998182
Train 63, loss: 0.643206, train acc: 0.998320, train avg acc: 0.998315, train iou: 0.996173
Test 63, loss: 0.640819, test acc: 0.999289, test avg acc: 0.999350, test iou: 0.998630
Train 64, loss: 0.643221, train acc: 0.998314, train avg acc: 0.998308, train iou: 0.996164
Test 64, loss: 0.641218, test acc: 0.999191, test avg acc: 0.999309, test iou: 0.998346
Train 65, loss: 0.643112, train acc: 0.998410, train avg acc: 0.998413, train iou: 0.996375
Test 65, loss: 0.639972, test acc: 0.999282, test avg acc: 0.999358, test iou: 0.998568
Train 66, loss: 0.643082, train acc: 0.998435, train avg acc: 0.998443, train iou: 0.996431
Test 66, loss: 0.640379, test acc: 0.999316, test avg acc: 0.999424, test iou: 0.998718
Train 67, loss: 0.643076, train acc: 0.998429, train avg acc: 0.998434, train iou: 0.996414
Test 67, loss: 0.640377, test acc: 0.999275, test avg acc: 0.999366, test iou: 0.998607
