Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_am_cos', k=20, loss_type='cosface', lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='FREEMUG', dropout=0.5, emb_dims=1024, epochs=100, eval=False, exp_name='free_mug_am_cos', k=20, loss_type='cosface', lr=0.001, model='dgcnn', model_root='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_area='all', test_batch_size=16, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Test 30, loss: 0.704892, test acc: 0.944894, test avg acc: 0.874043, test iou: 0.841099
Train 31, loss: 0.605743, train acc: 0.953914, train avg acc: 0.894830, train iou: 0.866856
Test 31, loss: 0.643972, test acc: 0.954088, test avg acc: 0.895126, test iou: 0.867323
Train 32, loss: 0.604085, train acc: 0.952691, train avg acc: 0.892028, train iou: 0.863362
Test 32, loss: 0.633406, test acc: 0.960170, test avg acc: 0.909052, test iou: 0.884728
Train 33, loss: 0.600327, train acc: 0.951483, train avg acc: 0.889259, train iou: 0.859912
Test 33, loss: 0.762991, test acc: 0.965081, test avg acc: 0.921310, test iou: 0.899024
Train 34, loss: 0.593204, train acc: 0.951645, train avg acc: 0.889633, train iou: 0.860376
Test 34, loss: 0.618767, test acc: 0.953181, test avg acc: 0.893008, test iou: 0.864721
Train 35, loss: 0.591542, train acc: 0.951006, train avg acc: 0.888178, train iou: 0.858556
Test 35, loss: 0.613092, test acc: 0.956110, test avg acc: 0.899750, test iou: 0.873104
Train 36, loss: 0.584241, train acc: 0.950781, train avg acc: 0.887659, train iou: 0.857912
Test 36, loss: 0.609301, test acc: 0.957227, test avg acc: 0.902393, test iou: 0.876319
Train 37, loss: 0.580160, train acc: 0.951861, train avg acc: 0.890123, train iou: 0.860992
Test 37, loss: 0.779211, test acc: 0.966532, test avg acc: 0.924787, test iou: 0.903214
Train 38, loss: 0.663947, train acc: 0.950112, train avg acc: 0.886181, train iou: 0.856021
Test 38, loss: 0.787957, test acc: 0.958343, test avg acc: 0.904967, test iou: 0.879517
Train 39, loss: 0.657314, train acc: 0.949813, train avg acc: 0.885481, train iou: 0.855164
Test 39, loss: 0.639091, test acc: 0.948228, test avg acc: 0.881665, test iou: 0.850590
Train 40, loss: 0.615040, train acc: 0.948554, train avg acc: 0.882595, train iou: 0.851575
Test 40, loss: 0.617037, test acc: 0.949289, test avg acc: 0.884088, test iou: 0.853611
Train 41, loss: 0.591993, train acc: 0.947051, train avg acc: 0.879138, train iou: 0.847288
Test 41, loss: 0.622205, test acc: 0.945633, test avg acc: 0.875733, test iou: 0.843203
Train 42, loss: 0.580304, train acc: 0.945794, train avg acc: 0.876273, train iou: 0.843715
Test 42, loss: 0.623574, test acc: 0.952930, test avg acc: 0.892457, test iou: 0.864010
Train 43, loss: 0.574394, train acc: 0.945788, train avg acc: 0.876261, train iou: 0.843698
Test 43, loss: 0.579866, test acc: 0.957129, test avg acc: 0.902032, test iou: 0.876005
Train 44, loss: 0.564957, train acc: 0.946778, train avg acc: 0.878518, train iou: 0.846513
Test 44, loss: 0.582696, test acc: 0.959473, test avg acc: 0.907435, test iou: 0.882724
Train 45, loss: 0.560846, train acc: 0.946402, train avg acc: 0.877655, train iou: 0.845441
Test 45, loss: 0.583049, test acc: 0.954799, test avg acc: 0.896684, test iou: 0.869337
Train 46, loss: 0.555222, train acc: 0.946307, train avg acc: 0.877443, train iou: 0.845174
Test 46, loss: 0.648358, test acc: 0.965193, test avg acc: 0.920716, test iou: 0.899170
Train 47, loss: 0.552868, train acc: 0.946968, train avg acc: 0.878964, train iou: 0.847056
Test 47, loss: 0.563756, test acc: 0.956613, test avg acc: 0.900898, test iou: 0.874540
Train 48, loss: 0.547382, train acc: 0.946467, train avg acc: 0.877813, train iou: 0.845630
Test 48, loss: 0.573574, test acc: 0.957422, test avg acc: 0.902724, test iou: 0.876848
Train 49, loss: 0.544796, train acc: 0.947075, train avg acc: 0.879200, train iou: 0.847359
Test 49, loss: 0.574214, test acc: 0.963602, test avg acc: 0.916920, test iou: 0.894572
Train 50, loss: 0.540697, train acc: 0.947785, train avg acc: 0.880831, train iou: 0.849383
Test 50, loss: 0.562830, test acc: 0.966127, test avg acc: 0.922622, test iou: 0.901808
Train 51, loss: 0.539172, train acc: 0.947607, train avg acc: 0.880447, train iou: 0.848884
Test 51, loss: 0.556825, test acc: 0.963421, test avg acc: 0.916390, test iou: 0.894027
Train 52, loss: 0.534729, train acc: 0.948171, train avg acc: 0.881730, train iou: 0.850487
Test 52, loss: 0.576732, test acc: 0.965123, test avg acc: 0.920556, test iou: 0.898970
Train 53, loss: 0.529708, train acc: 0.948084, train avg acc: 0.881535, train iou: 0.850240
Test 53, loss: 0.557502, test acc: 0.968931, test avg acc: 0.929055, test iou: 0.909875
Train 54, loss: 0.527216, train acc: 0.949058, train avg acc: 0.883764, train iou: 0.853015
Test 54, loss: 0.549119, test acc: 0.967215, test avg acc: 0.925179, test iou: 0.904949
Train 55, loss: 0.522690, train acc: 0.948689, train avg acc: 0.882910, train iou: 0.851960
Test 55, loss: 0.553472, test acc: 0.967522, test avg acc: 0.925788, test iou: 0.905814
Train 56, loss: 0.519606, train acc: 0.949596, train avg acc: 0.884976, train iou: 0.854543
Test 56, loss: 0.538842, test acc: 0.969894, test avg acc: 0.931209, test iou: 0.912637
Train 57, loss: 0.517677, train acc: 0.948934, train avg acc: 0.883473, train iou: 0.852659
Test 57, loss: 0.542165, test acc: 0.970452, test avg acc: 0.932462, test iou: 0.914240
Train 58, loss: 0.513511, train acc: 0.948829, train avg acc: 0.883234, train iou: 0.852361
Test 58, loss: 0.539650, test acc: 0.972698, test avg acc: 0.937665, test iou: 0.920724
Train 59, loss: 0.508596, train acc: 0.949464, train avg acc: 0.884700, train iou: 0.854174
Test 59, loss: 0.531945, test acc: 0.971526, test avg acc: 0.934963, test iou: 0.917342
Train 60, loss: 0.509474, train acc: 0.948920, train avg acc: 0.883445, train iou: 0.852621
Test 60, loss: 0.539882, test acc: 0.968945, test avg acc: 0.929018, test iou: 0.909903
Train 61, loss: 0.504210, train acc: 0.949733, train avg acc: 0.885294, train iou: 0.854934
Test 61, loss: 0.554251, test acc: 0.965862, test avg acc: 0.921971, test iou: 0.901037
Train 62, loss: 0.503069, train acc: 0.949355, train avg acc: 0.884435, train iou: 0.853859
Test 62, loss: 0.536927, test acc: 0.969224, test avg acc: 0.929679, test iou: 0.910710
Train 63, loss: 0.496802, train acc: 0.950879, train avg acc: 0.887929, train iou: 0.858206
Test 63, loss: 0.520999, test acc: 0.975446, test avg acc: 0.944130, test iou: 0.928679
Train 64, loss: 0.490988, train acc: 0.950862, train avg acc: 0.887898, train iou: 0.858159
Test 64, loss: 0.507900, test acc: 0.970047, test avg acc: 0.931560, test iou: 0.913079
Train 65, loss: 0.489552, train acc: 0.950993, train avg acc: 0.888196, train iou: 0.858532
Test 65, loss: 0.517910, test acc: 0.975140, test avg acc: 0.943222, test iou: 0.927763
Train 66, loss: 0.484019, train acc: 0.951431, train avg acc: 0.889195, train iou: 0.859780
Test 66, loss: 0.489160, test acc: 0.975167, test avg acc: 0.943286, test iou: 0.927843
Train 67, loss: 0.481907, train acc: 0.951320, train avg acc: 0.888942, train iou: 0.859465
